Defensive Technique Name		Techniques/Sub-Techniques it is a solution to
Decoy File		OS Credential Dumping, Unsecured Credentials, Modify Authentication Process, Forced Authentication, Proc Filesystem, /etc/passwd and /etc/shadow, Credentials in Files, Password Filter DLL, Pluggable Authentication Modules, Email Collection, Archive Collected Data, Automated Collection, Local Email Collection, Archive via Utility, Archive via Library, Archive via Custom Method, Implant Container Image, Hijack Execution Flow, Boot or Logon Initialization Scripts, Boot or Logon Autostart Execution, Scheduled Task/Job Execution, Office Application Startup, Server Software Component, Create or Modify System Process, Event Triggered Execution, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Launchd, Office Template Macros, Outlook Forms, Web Shell, Launch Agent, Systemd Service, Launch Daemon, Screensaver, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Accessibility Features, AppCert DLLs, AppInit DLLs, PowerShell Profile, Emond, Component Object Model Hijacking, Rootkit, Deobfuscate/Decode Files or Information, Modify Authentication Process, Hide Artifacts, Hijack Execution Flow, Impair Defenses, Process Injection, Indicator Removal on Host, Obfuscated Files or Information, Masquerading, Trusted Developer Utilities Proxy Execution, Abuse Elevation Control Mechanism, Password Filter DLL, Pluggable Authentication Modules, Hidden Users, Hidden Window, Run Virtual Instance, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Impair Command History Logging, Proc Memory, VDSO Hijacking, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Clear Linux or Mac System Logs, File Deletion, Binary Padding, Software Packing, Compile After Delivery, Invalid Code Signature, Rename System Utilities, Match Legitimate Name or Location, Space after Filename, MSBuild, Bypass User Access Control, Sudo and Sudo Caching, Command and Scripting Interpreter Execution, Software Deployment Tools Execution, User Execution, Scheduled Task/Job Execution, Unix Shell Execution, VBScript Execution, Python Execution, Network Device CLI, JavaScript/JScript, PowerShell Execution, AppleScript Execution, Windows Command Shell Execution, Malicious File Execution, Launchd, Software Deployment Tools Execution, Internal Spearphishing, Hijack Execution Flow, Process Injection, Event Triggered Execution, Boot or Logon Autostart Execution, Scheduled Task/Job Execution, Abuse Elevation Control Mechanism, Boot or Logon Initialization Scripts, Create or Modify System Process, DLL Search Order Hijacking, DLL Side-Loading, Dylib Hijacking, LD_PRELOAD, Path Interception by PATH Environment Variable, Path Interception by Search Order Hijacking, Path Interception by Unquoted Path, COR_PROFILER, Dynamic-link Library Injection, Portable Executable Injection, Thread Execution Hijacking, Proc Memory, VDSO Hijacking, Accessibility Features, AppCert DLLs, AppInit DLLs, PowerShell Profile, Emond, Screensaver, .bash_profile and .bashrc, Trap, LC_LOAD_DYLIB Addition, Component Object Model Hijacking, Registry Run Keys / Startup Folder, Kernel Modules and Extensions, Re-opened Applications, LSASS Driver, Shortcut Modification, Plist Modification, Launchd, Bypass User Access Control, Sudo and Sudo Caching, Logon Script (Windows), Logon Script (Mac), Network Logon Script, Rc.common, Launch Agent, Systemd Service, Launch Daemon, Data Manipulation, Stored Data Manipulation, Runtime Data Manipulation, Phishing, Spearphishing Attachment, Spearphishing Link, Spearphishing Via Service, 	173
Decoy Network Resource		Boot or Logon Initialization Scripts, Server Software Component, Network Logon Script, Transport Agent, Web Shell, Boot or Logon Initialization Scripts, Network Logon Script, Data from Network Shared Drive, Data Staged, Email Collection, Data from Information Repositories, Remote Data Staging, Remote Email Collection, Confluence, Sharepoint, Indicator Removal on Host, Network Share Connection Removal, Taint Shared Content, Defacement, External Defacement, 	20
Decoy Persona			0
Decoy Public Release			0
Decoy Session Token		Access Token Manipulation, Use Alternate Authentication Material, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Application Access Token, Access Token Manipulation, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Steal Application Access Token, Steal or Forge Kerberos Tickets, Golden Ticket, Silver Ticket, Kerberoasting, Use Alternate Authentication Material, Application Access Token, 	17
Decoy User Credential		OS Credential Dumping, Brute Force, Steal Application Access Token, Steal Web Session Cookie, Unsecured Credentials, Steal or Forge Kerberos Tickets, LSASS Memory, Security Account Manager, NTDS, LSA Secrets, Cached Domain Credentials, DCSync, Proc Filesystem, /etc/passwd and /etc/shadow, Password Cracking, Credentials in Files, Credentials in Registry, Bash History, Private Keys, Cloud Instance Metadata  API, Group Policy Preferences, Golden Ticket, Silver Ticket, Kerberoasting, Account Manipulation, Additional Azure Service Principal Credentials, Access Token Manipulation, Use Alternate Authentication Material, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Application Access Token, Web Session Cookie, Access Token Manipulation, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Use Alternate Authentication Material, Application Access Token, Web Session Cookie, 	40
Credential Eviction			0
Account Locking		Valid Accounts, Create Account, Local Accounts, Cloud Accounts, Default Accounts, Domain Accounts, Local Account, Domain Account, Cloud Account, Create Account, Account Manipulation, Valid Accounts, Local Account, Domain Account, Cloud Account, Additional Azure Service Principal Credentials, Exchange Email Delegate Permissions, Add Office 365 Global Administrator Role, SSH Authorized Keys, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, Valid Accounts, Default Accounts, Domain Accounts, Local Accounts, Cloud Accounts, 	33
Authentication Cache Invalidation		OS Credential Dumping, Brute Force, Steal Application Access Token, Steal Web Session Cookie, Unsecured Credentials, Steal or Forge Kerberos Tickets, LSASS Memory, Security Account Manager, NTDS, LSA Secrets, Cached Domain Credentials, DCSync, Proc Filesystem, /etc/passwd and /etc/shadow, Password Cracking, Credentials in Files, Credentials in Registry, Bash History, Private Keys, Cloud Instance Metadata  API, Group Policy Preferences, Golden Ticket, Silver Ticket, Kerberoasting, Account Manipulation, Additional Azure Service Principal Credentials, Access Token Manipulation, Use Alternate Authentication Material, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Application Access Token, Web Session Cookie, Access Token Manipulation, Token Impersonation/Theft, Create Process with Token, Make and Impersonate Token, Use Alternate Authentication Material, Application Access Token, Web Session Cookie, 	40
Process Eviction			0
Process Termination		OS Credential Dumping, LSASS Memory, Security Account Manager, LSA Secrets, Scheduled Task/Job Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Scheduled Task/Job Execution, Server Software Component, Event Triggered Execution, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, SQL Stored Procedures, Web Shell, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Scheduled Task/Job Execution, Process Injection, Event Triggered Execution, Abuse Elevation Control Mechanism, At (Linux) Execution, At (Windows) Execution, Cron Execution, Launchd, Schtasks Execution, Asynchronous Procedure Call, Process Doppelgänging, Netsh Helper DLL, AppCert DLLs, AppInit DLLs, Bypass User Access Control, Process Injection, Deobfuscate/Decode Files or Information, Abuse Elevation Control Mechanism, Impair Defenses, Asynchronous Procedure Call, Process Doppelgänging, Bypass User Access Control, Disable or Modify Tools, 	46
